,count,country,result.taxonid,result.scientific_name,result.subspecies,result.rank,result.subpopulation,result.category
1,10293,us,42271,Abies amabilis,NA,NA,NA,LC
2,10293,us,42272,Abies balsamea,NA,NA,NA,LC
3,10293,us,46521861,Abies balsamea var. balsamea,balsamea,var.,NA,LC
4,10293,us,46521889,Abies balsamea var. phanerolepis,phanerolepis,var.,NA,DD
5,10293,us,34019,Abies bracteata,NA,NA,NA,NT
6,10293,us,42276,Abies concolor,NA,NA,NA,LC
7,10293,us,32101,Abies fraseri,NA,NA,NA,EN
8,10293,us,42284,Abies grandis,NA,NA,NA,LC
9,10293,us,42289,Abies lasiocarpa,NA,NA,NA,LC
10,10293,us,42290,Abies magnifica,NA,NA,NA,LC
11,10293,us,42296,Abies procera,NA,NA,NA,LC
12,10293,us,13486514,Ablennes hians,NA,NA,NA,LC
13,10293,us,163184,Abralia andamanica,NA,NA,NA,LC
14,10293,us,163302,Abralia astrosticta,NA,NA,NA,LC
15,10293,us,163030,Abralia grimpei,NA,NA,NA,DD
16,10293,us,163028,Abralia redfieldi,NA,NA,NA,LC
17,10293,us,163262,Abralia trigonura,NA,NA,NA,LC
18,10293,us,163114,Abralia veranyi,NA,NA,NA,LC
19,10293,us,163405,Abraliopsis falco,NA,NA,NA,LC
20,10293,us,163094,Abraliopsis felis,NA,NA,NA,LC
21,10293,us,162933,Abraliopsis pacificus,NA,NA,NA,LC
22,10293,us,188304,Abudefduf abdominalis,NA,NA,NA,LC
23,10293,us,188581,Abudefduf saxatilis,NA,NA,NA,LC
24,10293,us,188434,Abudefduf taurus,NA,NA,NA,LC
25,10293,us,183397,Abudefduf troschelii,NA,NA,NA,LC
26,10293,us,188609,Abudefduf vaigiensis,NA,NA,NA,LC
27,10293,us,44059,Abutilon eremitopetalum,NA,NA,NA,CR
28,10293,us,44060,Abutilon menziesii,NA,NA,NA,CR
29,10293,us,44061,Abutilon sandwicense,NA,NA,NA,CR
30,10293,us,60469175,Abyssobrotula galatheae,NA,NA,NA,LC
31,10293,us,19892219,Acacia aneura,NA,NA,NA,LC
32,10293,us,19891902,Acacia auriculiformis,NA,NA,NA,LC
33,10293,us,19891713,Acacia koa,NA,NA,NA,LC
34,10293,us,30902,Acacia koaia,NA,NA,NA,VU
35,10293,us,44072,Acaena exigua,NA,NA,NA,EX
36,10293,us,170000,Acanthacaris caeca,NA,NA,NA,LC
37,10293,us,51302880,Acanthagrion quadratum,NA,NA,NA,LC
38,10293,us,82,Acanthametropus pecatonica,NA,NA,NA,EX
39,10293,us,201938,Acantharchus pomotis,NA,NA,NA,LC
40,10293,us,46104116,Acanthemblemaria aspera,NA,NA,NA,LC
41,10293,us,47141293,Acanthemblemaria chaplini,NA,NA,NA,LC
42,10293,us,47141354,Acanthemblemaria harpeza,NA,NA,NA,DD
43,10293,us,22725044,Acanthis flammea,NA,NA,NA,LC
44,10293,us,152925,Acanthocereus tetragonus,NA,NA,NA,LC
45,10293,us,190341,Acanthochaenus luetkenii,NA,NA,NA,LC
46,10293,us,170331,Acanthocybium solandri,NA,NA,NA,LC
47,10293,us,181137,Acanthogobius flavimanus,NA,NA,NA,LC
48,10293,us,83,Acanthomyops latipes,NA,NA,NA,VU
49,10293,us,40729,Acanthomyops murphii,NA,NA,NA,VU
50,10293,us,193646,Acanthostracion polygonius,NA,NA,NA,LC
51,10293,us,193647,Acanthostracion quadricornis,NA,NA,NA,LC
52,10293,us,80702763,Acanthothecis leucoxanthoides,NA,NA,NA,CR
53,10293,us,80702772,Acanthothecis paucispora,NA,NA,NA,CR
54,10293,us,177960,Acanthurus achilles,NA,NA,NA,LC
55,10293,us,177971,Acanthurus blochii,NA,NA,NA,LC
56,10293,us,177982,Acanthurus chirurgus,NA,NA,NA,LC
57,10293,us,177953,Acanthurus coeruleus,NA,NA,NA,LC
58,10293,us,177981,Acanthurus dussumieri,NA,NA,NA,LC
59,10293,us,177995,Acanthurus guttatus,NA,NA,NA,LC
60,10293,us,178011,Acanthurus leucopareius,NA,NA,NA,LC
61,10293,us,177969,Acanthurus nigricans,NA,NA,NA,LC
62,10293,us,177999,Acanthurus nigroris,NA,NA,NA,LC
63,10293,us,177991,Acanthurus olivaceus,NA,NA,NA,LC
64,10293,us,178008,Acanthurus thompsoni,NA,NA,NA,LC
65,10293,us,47139706,Acanthurus tractus,NA,NA,NA,LC
66,10293,us,177965,Acanthurus triostegus,NA,NA,NA,LC
67,10293,us,177989,Acanthurus xanthopterus,NA,NA,NA,LC
68,10293,us,22695656,Accipiter cooperii,NA,NA,NA,LC
69,10293,us,22695683,Accipiter gentilis,NA,NA,NA,LC
70,10293,us,22734130,Accipiter striatus,NA,NA,NA,LC
71,10293,us,69618813,Acella haldemani,NA,NA,NA,NT
72,10293,us,46107486,Acentronura dendritica,NA,NA,NA,LC
73,10293,us,193533,Acer circinatum,NA,NA,NA,LC
74,10293,us,103451747,Acer drummondi,NA,NA,NA,LC
75,10293,us,103451786,Acer floridanum,NA,NA,NA,LC
76,10293,us,193546,Acer glabrum,NA,NA,NA,LC
77,10293,us,103451869,Acer grandidentatum,NA,NA,NA,LC
78,10293,us,103451921,Acer leucoderme,NA,NA,NA,LC
79,10293,us,193830,Acer macrophyllum,NA,NA,NA,LC
80,10293,us,62940,Acer negundo,NA,NA,NA,LC
81,10293,us,61961045,Acer nigrum,NA,NA,NA,LC
82,10293,us,193849,Acer pensylvanicum,NA,NA,NA,LC
83,10293,us,193853,Acer platanoides,NA,NA,NA,LC
