"","country","result.taxonid","species","result.subspecies","result.rank","result.subpopulation","result.category","acceptedName"
"1","us",42271,"Abies amabilis",NA,NA,NA,"LC","Abies amabilis"
"2","us",42272,"Abies balsamea",NA,NA,NA,"LC","Abies balsamea"
"3","us",34019,"Abies bracteata",NA,NA,NA,"NT","Abies bracteata"
"4","us",42276,"Abies concolor",NA,NA,NA,"LC","Abies concolor"
"5","us",32101,"Abies fraseri",NA,NA,NA,"EN","Abies fraseri"
"6","us",42284,"Abies grandis",NA,NA,NA,"LC","Abies grandis"
"7","us",42289,"Abies lasiocarpa",NA,NA,NA,"LC","Abies lasiocarpa"
"8","us",42290,"Abies magnifica",NA,NA,NA,"LC","Abies magnifica"
"9","us",42296,"Abies procera",NA,NA,NA,"LC","Abies procera"
"10","us",13486514,"Ablennes hians",NA,NA,NA,"LC","Ablennes hians"
"11","us",163184,"Abralia andamanica",NA,NA,NA,"LC","Abralia andamanica"
"12","us",163302,"Abralia astrosticta",NA,NA,NA,"LC","Abralia astrosticta"
"13","us",163030,"Abralia grimpei",NA,NA,NA,"DD","Abralia grimpei"
"14","us",163028,"Abralia redfieldi",NA,NA,NA,"LC","Abralia redfieldi"
"15","us",163262,"Abralia trigonura",NA,NA,NA,"LC","Abralia trigonura"
"16","us",163114,"Abralia veranyi",NA,NA,NA,"LC","Abralia veranyi"
"17","us",163405,"Abraliopsis falco",NA,NA,NA,"LC","Abraliopsis falco"
"18","us",163094,"Abraliopsis felis",NA,NA,NA,"LC","Abraliopsis felis"
"19","us",162933,"Abraliopsis pacificus",NA,NA,NA,"LC","Abraliopsis pacificus"
"20","us",188304,"Abudefduf abdominalis",NA,NA,NA,"LC","Abudefduf abdominalis"
"21","us",188581,"Abudefduf saxatilis",NA,NA,NA,"LC","Abudefduf saxatilis"
"22","us",188434,"Abudefduf taurus",NA,NA,NA,"LC","Abudefduf taurus"
"23","us",183397,"Abudefduf troschelii",NA,NA,NA,"LC","Abudefduf troschelii"
"24","us",188609,"Abudefduf vaigiensis",NA,NA,NA,"LC","Abudefduf vaigiensis"
"25","us",44059,"Abutilon eremitopetalum",NA,NA,NA,"CR","Abutilon eremitopetalum"
"26","us",44060,"Abutilon menziesii",NA,NA,NA,"CR","Abutilon menziesii"
"27","us",44061,"Abutilon sandwicense",NA,NA,NA,"CR","Abutilon sandwicense"
"28","us",60469175,"Abyssobrotula galatheae",NA,NA,NA,"LC","Abyssobrotula galatheae"
"29","us",19892219,"Acacia aneura",NA,NA,NA,"LC","Acacia aneura"
"30","us",19891902,"Acacia auriculiformis",NA,NA,NA,"LC","Acacia auriculiformis"
"31","us",19891713,"Acacia koa",NA,NA,NA,"LC","Acacia koa"
"32","us",30902,"Acacia koaia",NA,NA,NA,"VU","Acacia koaia"
"33","us",44072,"Acaena exigua",NA,NA,NA,"EX","Acaena exigua"
"34","us",170000,"Acanthacaris caeca",NA,NA,NA,"LC","Acanthacaris caeca"
"35","us",51302880,"Acanthagrion quadratum",NA,NA,NA,"LC","Acanthagrion quadratum"
"36","us",82,"Acanthametropus pecatonica",NA,NA,NA,"EX","Acanthametropus pecatonica"
"37","us",201938,"Acantharchus pomotis",NA,NA,NA,"LC","Acantharchus pomotis"
"38","us",46104116,"Acanthemblemaria aspera",NA,NA,NA,"LC","Acanthemblemaria aspera"
"39","us",47141293,"Acanthemblemaria chaplini",NA,NA,NA,"LC","Acanthemblemaria chaplini"
