state,species,taxon_general,taxon_specific,status,acceptedName
alabama,Epioblasma othcaloogensis,Invertebrates,Mollusks,E,Epioblasma othcaloogensis
alabama,Elliptoideus sloatianus,Invertebrates,Mollusks,T,Elliptoideus sloatianus
alabama,Myotis grisescens,Mammals,NA,E,Myotis grisescens
alabama,Myotis sodalis,Mammals,NA,E,Myotis sodalis
alabama,Myotis septentrionalis,Mammals,NA,T,Myotis septentrionalis
alabama,Villosa choctawensis,Invertebrates,Mollusks,E,Obovaria choctawensis
alabama,Villosa trabalis,Invertebrates,Mollusks,E,Venustaconcha trabalis
alabama,Neonympha mitchellii,Invertebrates,Insects,E,Neonympha mitchellii
alabama,Campeloma decampi,Invertebrates,Mollusks,E,Campeloma decampi
alabama,Speoplatyrhinus poulsoni,Fish,NA,E,Speoplatyrhinus poulsoni
alabama,Erimonax monachus,Fish,NA,T,Cyprinella monacha
alabama,Pleurobema curtum,Invertebrates,Mollusks,E,Pleurobema curtum
alabama,Pleurobema perovatum,Invertebrates,Mollusks,E,Pleurobema perovatum
alabama,Pleurobema decisum,Invertebrates,Mollusks,E,Pleurobema decisum
alabama,Epioblasma penita,Invertebrates,Mollusks,E,Epioblasma penita
alabama,Epioblasma metastriata,Invertebrates,Mollusks,E,Epioblasma metastriata
alabama,Grus canadensis,Birds,NA,E,Grus canadensis
alabama,Etheostoma wapiti,Fish,NA,E,Etheostoma wapiti
alabama,Percina aurolineata,Fish,NA,T,Percina aurolineata
alabama,Etheostoma phytophilum,Fish,NA,E,Etheostoma phytophilum
alabama,Etheostoma boschungi,Fish,NA,T,Etheostoma boschungi
alabama,Percina tanasi,Fish,NA,T,Percina tanasi
alabama,Etheostoma trisella,Fish,NA,T,Etheostoma trisella
alabama,Etheostoma chermocki,Fish,NA,E,Etheostoma chermocki
alabama,Etheostoma nuchale,Fish,NA,E,Etheostoma nuchale
alabama,Fusconaia rotulata,Invertebrates,Mollusks,E,Reginaia rotulata
alabama,Elimia crenatella,Invertebrates,Mollusks,T,Elimia crenatella
alabama,Cyprogenia stegaria,Invertebrates,Mollusks,E,Cyprogenia stegaria
alabama,Rana sevosa,Amphibians,Frogs,E,Lithobates sevosus
alabama,Potamilus inflatus,Invertebrates,Mollusks,T,Potamilus inflatus
alabama,Pleurocera foremani,Invertebrates,Mollusks,E,Pleurocera foremani
alabama,Ptychobranchus jonesi,Invertebrates,Mollusks,E,Ptychobranchus jonesi
alabama,Ptychobranchus greenii,Invertebrates,Mollusks,E,Ptychobranchus greenii
alabama,Calidris canutus,Birds,NA,T,Calidris canutus
alabama,Lampsilis virescens,Invertebrates,Mollusks,E,Lampsilis virescens
alabama,Toxolasma cylindrellus,Invertebrates,Mollusks,E,Toxolasma cylindrellus
alabama,Lioplax cyclostomaformis,Invertebrates,Mollusks,E,Lioplax cyclostomaformis
alabama,Trichechus manatus,Mammals,NA,T,Trichechus manatus
alabama,Medionidus acutissimus,Invertebrates,Mollusks,T,Medionidus acutissimus
alabama,Medionidus parvulus,Invertebrates,Mollusks,E,Medionidus parvulus
alabama,Medionidus penicillatus,Invertebrates,Mollusks,E,Medionidus penicillatus
alabama,Quadrula intermedia,Invertebrates,Mollusks,E,Theliderma intermedia
alabama,Peromyscus polionotus,Mammals,NA,E,Peromyscus polionotus
alabama,Lampsilis perovalis,Invertebrates,Mollusks,T,Hamiota perovalis
alabama,Lampsilis abrupta,Invertebrates,Mollusks,E,Lampsilis abrupta
alabama,Epioblasma capsaeformis,Invertebrates,Mollusks,E,Epioblasma capsaeformis
alabama,Plethobasus cyphyus,Invertebrates,Mollusks,E,Plethobasus cyphyus
alabama,Epioblasma triquetra,Invertebrates,Mollusks,E,Epioblasma triquetra
alabama,Margaritifera marrianae,Invertebrates,Mollusks,E,Margaritifera marrianae
alabama,Hemistena lata,Invertebrates,Mollusks,E,Hemistena lata
alabama,Dromus dromas,Invertebrates,Mollusks,E,Dromus dromas
alabama,Pegias fabula,Invertebrates,Mollusks,E,Pegias fabula
alabama,Pleuronaia dolabelloides,Invertebrates,Mollusks,E,Pleuronaia dolabelloides
alabama,Lepyrium showalteri,Invertebrates,Mollusks,E,Lepyrium showalterii
alabama,Pleurobema furvum,Invertebrates,Mollusks,E,Pleurobema rubellum
alabama,Fusconaia cuneolus,Invertebrates,Mollusks,E,Fusconaia cuneolus
alabama,Pleurobema marshalli,Invertebrates,Mollusks,E,Pleurobema marshalli
alabama,Pleurobema strodeanum,Invertebrates,Mollusks,T,Pleurobema strodeanum
alabama,Pleurobema hanleyianum,Invertebrates,Mollusks,E,Pleurobema hanleyianum
alabama,Pleurobema taitianum,Invertebrates,Mollusks,E,Pleurobema taitianum
alabama,Fusconaia escambia,Invertebrates,Mollusks,T,Fusconaia escambia
alabama,Pleurobema pyriforme,Invertebrates,Mollusks,E,Pleurobema pyriforme
alabama,Pleurobema plenum,Invertebrates,Mollusks,E,Pleurobema plenum
alabama,Fusconaia cor,Invertebrates,Mollusks,E,Fusconaia cor
alabama,Pleurobema georgianum,Invertebrates,Mollusks,E,Pleurobema georgianum
alabama,Fusconaia burkei,Invertebrates,Mollusks,T,Fusconaia burkei
alabama,Plethobasus cooperianus,Invertebrates,Mollusks,E,Plethobasus cooperianus
alabama,Charadrius melodus,Birds,NA,T,Charadrius melodus
alabama,Lampsilis altilis,Invertebrates,Mollusks,T,Lampsilis altilus
alabama,Lampsilis subangulata,Invertebrates,Mollusks,E,Hamiota subangulata
alabama,Epioblasma obliquata,Invertebrates,Mollusks,E,Epioblasma obliquata
alabama,Quadrula cylindrica,Invertebrates,Mollusks,T,Theliderma cylindrica
alabama,Epioblasma florentina,Invertebrates,Mollusks,E,Epioblasma florentina
alabama,Obovaria retusa,Invertebrates,Mollusks,E,Obovaria retusa
alabama,Athearnia anthonyi,Invertebrates,Mollusks,E,Leptoxis crassa
alabama,Leptoxis foremani,Invertebrates,Mollusks,E,Leptoxis foremani
alabama,Leptoxis taeniata,Invertebrates,Mollusks,T,Leptoxis picta
alabama,Leptoxis plicata,Invertebrates,Mollusks,E,Leptoxis plicata
alabama,Leptoxis ampla,Invertebrates,Mollusks,T,Leptoxis ampla
