state,species,taxon_general,taxon_specific,status,recorder,Use this link to get federally listed species in each state ->,https://ecos.fws.gov/ecp0/reports/species-listed-by-state-totals-report,,,,,,,,,,,,,,,,,,
Alabama,Epioblasma othcaloogensis,Invertebrates,Mollusks,E,Theresa,,General taxonomic groups:,More specific:,,,,,,,,,,,,,,,,,
Alabama,Elliptoideus sloatianus,Invertebrates,Mollusks,T,Theresa,,Mammals,,,,,,,,,,,,,,,,,,
Alabama,Myotis grisescens,Mammals,,E,Theresa,,Birds,,,,,,,,,,,,,,,,,,
Alabama,Myotis sodalis,Mammals,,E,Theresa,,Reptiles,"Turtles, Snakes, Lizards, Crocodilians",,,,,,,,,,,,,,,,,
Alabama,Myotis septentrionalis,Mammals,,T,Theresa,,Amphibians,"Salamanders, Frogs/Toads",,,,,,,,,,,,,,,,,
Alabama,Villosa choctawensis,Invertebrates,Mollusks,E,Theresa,,Fish,,,,,,,,,,,,,,,,,,
Alabama,Villosa trabalis,Invertebrates,Mollusks,E,Theresa,,Invertebrates,"Mollusks, Crustaceans, Insects, Arachnids, Corals, Sponges, Platyhelminthes",,,,,,,,,,,,,,,,,
Alabama,Neonympha mitchellii mitchellii,Invertebrates,Insects,E,Theresa,,Plants,"Vascular, Nonvascular",,,,,,,,,,,,,,,,,
Alabama,Campeloma decampi,Invertebrates,Mollusks,E,Theresa,,Fungi,,,,,,,,,,,,,,,,,,
Alabama,Speoplatyrhinus poulsoni,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Erimonax monachus,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Pleurobema curtum,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Pleurobema perovatum,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Pleurobema decisum,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Epioblasma penita,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Epioblasma metastriata,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Grus canadensis pulla,Birds,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Etheostoma wapiti,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Percina aurolineata,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Etheostoma phytophilum,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Etheostoma boschungi,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Percina tanasi,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Etheostoma trisella,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Etheostoma chermocki,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Etheostoma nuchale,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Fusconaia rotulata,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Elimia crenatella,Invertebrates,Mollusks,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Cyprogenia stegaria,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Rana sevosa,Amphibians,Frogs,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Potamilus inflatus,Invertebrates,Mollusks,T,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Pleurocera foremani,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Alabama,Ptychobranchus jonesi,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
