species,category,kingdom,phylum,class,order,family,genus,main_common_name,population_trend,marine_system,freshwater_system,terrestrial_system,state,acceptedName,ssp_subpop
Abies fraseri,EN,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PINACEAE,Abies,Fraser's Fir,Decreasing,FALSE,FALSE,FALSE,georgia,Abies fraseri,
Abies fraseri,EN,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PINACEAE,Abies,Fraser's Fir,Decreasing,FALSE,FALSE,FALSE,north carolina,Abies fraseri,
Abies fraseri,EN,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PINACEAE,Abies,Fraser's Fir,Decreasing,FALSE,FALSE,FALSE,tennessee,Abies fraseri,
Abies fraseri,EN,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PINACEAE,Abies,Fraser's Fir,Decreasing,FALSE,FALSE,FALSE,virginia,Abies fraseri,
Abies fraseri,EN,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PINACEAE,Abies,Fraser's Fir,Decreasing,FALSE,FALSE,FALSE,west virginia,Abies fraseri,
Abutilon eremitopetalum,CR,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Abutilon,Hiddenpetal Indian Mallow,Decreasing,FALSE,FALSE,TRUE,hawaii,Abutilon eremitopetalum,
Abutilon menziesii,CR,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Abutilon,NA,Decreasing,FALSE,FALSE,TRUE,hawaii,Abutilon menziesii,
Abutilon sandwicense,CR,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Abutilon,Greenflower Indian Mallow,Decreasing,FALSE,FALSE,TRUE,hawaii,Abutilon sandwicense,
Acacia koaia,VU,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Acacia,NA,Decreasing,FALSE,FALSE,TRUE,hawaii,Acacia koaia,
Acanthomyops latipes,VU,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Acanthomyops,NA,NA,FALSE,FALSE,TRUE,idaho,Acanthomyops latipes,
