"","state","species","source"
"1","California","Alopias pelagicus","IUCN"
"2","California","Ardenna bulleri","IUCN"
"3","Oregon","Ardenna bulleri","IUCN"
"4","Washington","Ardenna bulleri","IUCN"
"5","Hawaii","Callionymus comptus","IUCN"
"6","Florida","Centroscymnus owstonii","IUCN"
"7","Alabama","Centroscymnus owstonii","IUCN"
"8","Mississippi","Centroscymnus owstonii","IUCN"
"9","Texas","Centroscymnus owstonii","IUCN"
"10","Louisiana","Centroscymnus owstonii","IUCN"
"11","Hawaii","Chrysodracon aurea",NA
"12","Hawaii","Chrysodracon auwahiensis",NA
"13","Hawaii","Chrysodracon forbesii",NA
"14","Hawaii","Chrysodracon hawaiiensis",NA
"15","Connecticut","Cicindela puritana","IUCN"
"16","Massachusetts","Cicindela puritana",NA
"17","Maryland","Cicindela puritana",NA
"18","Florida","Conus stearnsii","IUCN"
"19",NA,"Coryphaenoides rupestris",NA
"20",NA,"Coryphopterus alloides",NA
"21",NA,"Coryphopterus hyalinus",NA
"22",NA,"Coryphopterus lipernes",NA
"23",NA,"Coryphopterus tortugae",NA
"24","Arkansas","Cumberlandia monodonta","IUCN"
"25","Iowa","Cumberlandia monodonta",NA
"26","Tennessee","Cumberlandia monodonta",NA
"27","Illinois","Cumberlandia monodonta",NA
"28","West Virginia","Cumberlandia monodonta",NA
"29","Alabama","Cumberlandia monodonta",NA
"30","Minnesota","Cumberlandia monodonta",NA
"31","Virgina","Cumberlandia monodonta",NA
"32","Wisconsin","Cumberlandia monodonta",NA
"33","Missouri","Cumberlandia monodonta",NA
"34","Kentucky","Cumberlandia monodonta",NA
"35","Hawaii","Cyclosorus boydiae",NA
"36",NA,"Diomedea exulans",NA
"37",NA,"Diplobatis ommata","IUCN"
"38","North Carolina","Elliptio steinstansana","Natserv"
"39","Hawaii","Euconocephalus remotus","Natserv"
"40","Hawaii","Euphorbia deppeana","IUCN"
"41","Texas","Fusconaia lananensis","Natserv"
"42","Louisiana","Fusconaia lananensis","Natserv"
"43",NA,"Halichoeres burekae","IUCN"
"44","Alabama","Hesperiphona vespertina","Natserv"
"45","Arkansas","Hesperiphona vespertina",NA
"46","Arizona","Hesperiphona vespertina",NA
"47","California","Hesperiphona vespertina",NA
"48","Colorado","Hesperiphona vespertina",NA
"49","Connecticut","Hesperiphona vespertina",NA
"50","District of Columbia","Hesperiphona vespertina",NA
"51","Delaware","Hesperiphona vespertina",NA
"52","Georgia","Hesperiphona vespertina",NA
"53","Iowa","Hesperiphona vespertina",NA
"54","Idaho","Hesperiphona vespertina",NA
"55","Illinois","Hesperiphona vespertina",NA
"56","Indiana","Hesperiphona vespertina",NA
"57","Kansas","Hesperiphona vespertina",NA
"58","Kentucky","Hesperiphona vespertina",NA
"59","Maryland","Hesperiphona vespertina",NA
"60","Massachusetts","Hesperiphona vespertina",NA
"61","Michigan","Hesperiphona vespertina",NA
"62","Minnesota","Hesperiphona vespertina",NA
"63","Missouri","Hesperiphona vespertina",NA
"64","Mississippi","Hesperiphona vespertina",NA
"65","Montana","Hesperiphona vespertina",NA
"66","North Carolina","Hesperiphona vespertina",NA
"67","North Dakota","Hesperiphona vespertina",NA
"68","Nebraska","Hesperiphona vespertina",NA
"69","New Hampshire","Hesperiphona vespertina",NA
"70","New Jersey","Hesperiphona vespertina",NA
"71","New Mexico","Hesperiphona vespertina",NA
"72","Nevada","Hesperiphona vespertina",NA
"73","New York","Hesperiphona vespertina",NA
"74","Ohio","Hesperiphona vespertina",NA
"75","Oklahoma","Hesperiphona vespertina",NA
"76","Oregon","Hesperiphona vespertina",NA
"77","Pennsylvania","Hesperiphona vespertina",NA
"78","Rhode Island","Hesperiphona vespertina",NA
"79","South Carolina","Hesperiphona vespertina",NA
"80","South Dakota","Hesperiphona vespertina",NA
"81","Tennessee","Hesperiphona vespertina",NA
"82","Texas","Hesperiphona vespertina",NA
"83","Utah","Hesperiphona vespertina",NA
"84","Virgina","Hesperiphona vespertina",NA
"85","Washington","Hesperiphona vespertina",NA
"86","Wisconsin","Hesperiphona vespertina",NA
"87","West Virginia","Hesperiphona vespertina",NA
"88","Wyoming","Hesperiphona vespertina",NA
"89","Hawaii","Hippocampus histrix","IUCN"
"90","Hawaii","Holothuria fuscogilva","IUCN"
"91",NA,"Holothuria nobilis","IUCN"
"92","California","Hydrobates homochroa","IUCN"
"93","All oceanic states","Hydrobates leucorhous","IUCN"
"94",NA,"Hydrobates socorroensis","IUCN"
"95","Hawaii","Hygrocybe noelokelani","IUCN"
"96","California","Hyporthodus acanthistius","IUCN"
"97","California","Idiostatus middlekaufi","Natserv"
"98","Hawaii","Kadua coriacea","IUCN"
"99","Hawaii","Kadua st-johnii","IUCN"
"100","Hawaii","Labordia lorenceana","IUCN"
"101","Missouri","Lampsilis reeviana",NA
"102","California","Lepiota luteophylla","IUCN"
"103","California","Leptonia carnea","IUCN"
"104",NA,"Leptothorax duloticus",NA
"105","Alabama","Leptoxis melanoides","Natserv"
"106","Virgina","Lexingtonia subplana",NA
"107","Arizona","Lithobates subaquavocalis","IUCN"
"108","Hawaii","Manucerthia mana","IUCN"
"109","Hawaii","Melanthera fauriei","IUCN"
"110","Hawaii","Melanthera kamolensis","IUCN"
"111","Hawaii","Melanthera micrantha","IUCN"
"112","Hawaii","Melanthera tenuifolia","IUCN"
"113","Hawaii","Melanthera waimeaensis","IUCN"
"114","Arkansas","Mesodon clenchi","IUCN"
"115","Hawaii","Mezoneuron kavaiense","IUCN"
"116","Texas","Mobula tarapacana","IUCN"
"117","District of Columbia","Monomorium pergandei","AntWiki"
"118","Florida","Montastraea annularis",NA
"119","Texas","Montastraea annularis",NA
"120","Florida","Montastraea faveolata",NA
"121","Texas","Montastraea faveolata",NA
"122","Florida","Montastraea franksi",NA
"123","Texas","Montastraea franksi",NA
"124","Hawaii","Montipora dilatata","IUCN"
"125","Florida","Nemapalpus nearcticus","Mahmood and Alexander 1992"
"126","Alabama","Obovaria rotulata","IUCN"
"127","Florida","Obovaria rotulata","IUCN"
"128","Florida","Opuntia abjecta","IUCN"
"129","Indiana","Orconectes jeffersoni","IUCN"
"130","Kentucky","Orconectes jeffersoni","IUCN"
"131","Kentucky","Orconectes pardalotus","IUCN"
"132","Illinois","Orconectes pardalotus","IUCN"
"133","Oklahoma","Orconectes saxatilis","IUCN"
"134","Tennessee","Orconectes shoupi","IUCN"
"135","Tennessee","Orconectes taylori","IUCN"
"136","Utah","Oxyloma kanabense","Natserv"
"137","Arizona","Oxyloma kanabense","Natserv"
"138","Kansas","Ozobryum ogalalense","IUCN"
"139","California","Parapinnixa affinis","IUCN"
"140","Wyoming","Physella spelunca","Natserv"
"141","California","Pica nutalli","IUCN"
"142","Georgia","Pleurobema chattanoogaense","ECOS"
"143","North Carolina","Pleurobema collina","Natserv"
"144","Virginia","Pleurobema collina","Natserv"
"145","West Virginia","Pleurobema collina","Natserv"
"146","Alabama","Pleurobema furvum","Natserv"
"147","Tennessee","Pleurobema gibberum","ECOS"
"148","New York","Pleuronectes ferrugineus","Natserv"
"149","Rhode Island","Pleuronectes ferrugineus","Natserv"
"150","Hawaii","Pritchardia remota",NA
"151",NA,"Pterodroma cahow","IUCN"
"152",NA,"Pterodroma cervicalis","IUCN"
"153",NA,"Pterodroma longirostris","IUCN"
"154",NA,"Pterodroma solandri","IUCN"
"155","Hawaii","Puffinus bryani","IUCN"
"156","Alabama","Quadrula cylindrica","Natserv"
"157","Arkansas","Quadrula cylindrica","Natserv"
"158","Illinois","Quadrula cylindrica","Natserv"
"159","Indiana","Quadrula cylindrica","Natserv"
"160","Kansas","Quadrula cylindrica","Natserv"
"161","Louisiana","Quadrula cylindrica","Natserv"
"162","Missouri","Quadrula cylindrica","Natserv"
"163","Mississippi","Quadrula cylindrica","Natserv"
"164","Ohio","Quadrula cylindrica","Natserv"
"165","Oklahoma","Quadrula cylindrica","Natserv"
"166","Pennsylvania","Quadrula cylindrica","Natserv"
"167","Tennessee","Quadrula cylindrica","Natserv"
"168","Alabama","Quadrula intermedia","Natserv"
"169","Tennessee","Quadrula intermedia","Natserv"
"170","Virginia","Quadrula intermedia","Natserv"
"171",NA,"Spizella wortheni",NA
"172","Alabama","Stygobromus smithii",NA
"173",NA,"Tridacna gigas",NA
"174","Tennessee","Villosa perpurpurea","ECOS"
"175","Virginia","Villosa perpurpurea","ECOS"
"176","Alabama","Villosa trabalis","ECOS"
"177","Kentucky","Villosa trabalis","ECOS"
"178","North Carolina","Villosa trabalis","ECOS"
"179","Tennessee","Villosa trabalis","ECOS"
"180","Virginia","Villosa trabalis","ECOS"
"181","Idaho","Acanthomyops latipes","nature serve"
"182","Indiana","Acanthomyops latipes","nature serve"
"183","Vermont","Acanthomyops latipes","nature serve"
"184","Wyoming","Acanthomyops latipes","nature serve"
"185","Hawaii","Achatinella cestus","iucn"
"186","Hawaii","Achatinella swiftii","iucn"
"187","?","Alopias vulpinus","iucn"
"188","Maine","Amanita ristichii","iucn"
"189","New Hampshire","Amanita ristichii","iucn"
"190",NA,"Anser erythropus","iucn"
"191","Hawaii","Asplenium dielfalcatum","iucn"
"192","Hawaii","Athyrium haleakalae",NA
"193",NA,"Aythya ferina",NA
"194","Colorado","Boloria acrocnema",NA
"195","Florida","Branchinella alachua",NA
"196",NA,"Calidris tenuirostris",NA
"197","?","Carcharhinus longimanus",NA
"198","Hawaii","Clermontia peleana",NA
"199","Texas","Cochliopa texana",NA
"200","Hawaii","Coprosma kawaikiniensis",NA
"201","Florida","Coryphopterus eidolon",NA
"202","Florida","Coryphopterus thrix",NA
"203","Hawaii","Cyanea asplenifolia",NA
"204","Hawaii","Cyanea crispa",NA
"205","Hawaii","Cyanea dunbariae",NA
"206","Hawaii","Cyanea gibsonii",NA
"207","Hawaii","Cyanea koolauensis",NA
"208","Hawaii","Cyanea macrostegia",NA
"209","California","Cyanea macrostegia",NA
"210","Nevada","Cyprinodon salinus",NA
"211","Florida","Dichocoenia stokesii",NA
"212","Hawaii","Dryopteris glabra",NA
"213","Texas","Echinocereus chisosensis",NA
"214","maryland","Elaphoidella amabilis",NA
"215",NA,"Emberiza aureola",NA
"216","Hawaii","Euphorbia celastroides",NA
"217","Hawaii","Euphorbia skottsbergii",NA
"218","Hawaii","Festuca aloha",NA
"219","Maine","Formica dirksi","antwiki"
"220","North Dakota","Formica talbotae","antwiki"
"221","Iowa","Formica talbotae","antwiki"
"222","Michigan","Formica talbotae","antwiki"
