state,species,taxon_general,taxon_specific,Ranking,Notes,acceptedName
florida,Encyclia tampensis,Plants,NA,CE,NA,Encyclia tampensis
florida,Epidendrum conopseum,Plants,NA,CE,NA,Epidendrum magnoliae
florida,Lycopodium cernuum,Plants,NA,CE,NA,Palhinhaea cernua
florida,Osmunda cinnamomea,Plants,NA,CE,NA,Osmundastrum cinnamomeum
florida,Osmunda regalis,Plants,NA,CE,NA,Osmunda regalis
florida,Rhapidophyllum hystrix,Plants,NA,CE,NA,Rhapidophyllum hystrix
florida,Rhododendron canescens,Plants,NA,CE,NA,Rhododendron canescens
florida,Serenoa repens,Plants,NA,CE,NA,Serenoa repens
florida,Zamia spp,Plants,NA,CE,NA,Zamia spp
alaska,Phoebastria albatrus,Birds,NA,E,NA,Phoebastria albatrus
alaska,Numenius borealis,Birds,NA,E,NA,Numenius borealis
alaska,Balaenoptera musculus,Mammals,NA,E,Marine,Balaenoptera musculus
alaska,Megaptera novaeangliae,Mammals,NA,E,Marine,Megaptera novaeangliae
alaska,Eubalaena japonica,Mammals,NA,E,Marine,Eubalaena japonica
arizona,Ambystoma mavortium,Amphibians,Salamanders,E,NA,Ambystoma mavortium
arizona,Hyla wrightorum,Amphibians,Frogs/Toads,E,NA,Hyla wrightorum
arizona,Lithobates blairi,Amphibians,Frogs/Toads,E,NA,Lithobates blairi
arizona,Lithobates chiricahuensis,Amphibians,Frogs/Toads,E,NA,Lithobates chiricahuensis
arizona,Lithobates onca,Amphibians,Frogs/Toads,E,NA,Lithobates onca
arizona,Lithobates pipiens,Amphibians,Frogs/Toads,E,NA,Lithobates pipiens
arizona,Lithobates tarahumarae,Amphibians,Frogs/Toads,E,NA,Lithobates tarahumarae
arizona,Lithobates yavapaiensis,Amphibians,Frogs/Toads,E,NA,Lithobates yavapaiensis
arizona,Anthus spragueii,Birds,NA,E,NA,Anthus spragueii
arizona,Coccyzus americanus,Birds,NA,E,NA,Coccyzus americanus
arizona,Colinus virginianus,Birds,NA,E,NA,Colinus virginianus
arizona,Empidonax traillii,Birds,NA,E,NA,Empidonax traillii
arizona,Falco femoralis,Birds,NA,E,NA,Falco femoralis
arizona,Falco peregrinus,Birds,NA,E,NA,Falco peregrinus
arizona,Gymnogyps californianus,Birds,NA,E,NA,Gymnogyps californianus
arizona,Haliaeetus leucocephalus,Birds,NA,E,NA,Haliaeetus leucocephalus
arizona,Rallus obsoletus,Birds,NA,E,NA,Rallus obsoletus
arizona,Rhynchopsitta pachyrhyncha,Birds,NA,E,NA,Rhynchopsitta pachyrhyncha
arizona,Sternula antillarum,Birds,NA,E,NA,Sternula antillarum
arizona,Strix occidentalis,Birds,NA,E,NA,Strix occidentalis
arizona,Campostoma ornatum,Fish,NA,E,NA,Campostoma ornatum
arizona,Catostomus discobolus,Fish,NA,E,NA,Catostomus discobolus
arizona,Catostomus latipinnis,Fish,NA,E,NA,Catostomus latipinnis
arizona,Catostomus sp.,Fish,NA,E,NA,Catostomus sp.
arizona,Cyprinella formosa,Fish,NA,E,NA,Cyprinella formosa
arizona,Cyprinodon eremus,Fish,NA,E,NA,Cyprinodon eremus
arizona,Cyprinodon macularius,Fish,NA,E,NA,Cyprinodon macularius
arizona,Gila cypha,Fish,NA,E,NA,Gila cypha
arizona,Gila ditaenia,Fish,NA,E,NA,Gila ditaenia
arizona,Gila elegans,Fish,NA,E,NA,Gila elegans
arizona,Gila intermedia,Fish,NA,E,NA,Gila intermedia
arizona,Gila purpurea,Fish,NA,E,NA,Gila purpurea
arizona,Gila robusta,Fish,NA,E,NA,Gila robusta
arizona,Gila seminuda,Fish,NA,E,NA,Gila seminuda
