state,links,categories_notes,plants_protected,ESA_included,categories_defined,plant_law_separate,only_ESA,last_updated
Alabama,http://www.alabamaadministrativecode.state.al.us/docs/con_/220-2.pdf,"PRNG: Alabama Admin Code 220-2-.92; not specific to imperiled species protection, just game laws",NA,NA,NA,NA,NA,NA
Alaska,http://www.adfg.alaska.gov/index.cfm?adfg=specialstatus.akendangered,Endangered (just five species),N,N,Y,N,N,2019
Arizona,https://law.justia.com/codes/arizona/2016/title-3/section-3-903/; https://codes.findlaw.com/az/title-17-game-and-fish/#!tid=N85D464C0709811DA941ED2CF24A3A24D; https://www.azgfd.com/wildlife/nongamemanagement/,"HR, HS, SR, or SA for plants (FE and FT included), animals that are listed as '1a' under SGCN column or FE or FT are categorized as 'endangered' ",Y,Y,Y,Y,N,2019
Arkansas,Ark. Admin. Code 002.00.1-05.27 (2017). : http://170.94.37.152/REGS/002.00.07-002F-8773.pdf ; https://apps.agfc.com/regulations/P1.01,"endangered and threatened are protected from take, import, transport, sell, purchase, and possession.  The definition of 'endangered' includes endangered and threatened species listed (or canidates) by the ESA, and any native species listed as endangered by the Commission",N,Y,Y,N,N,2019
California,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=FGC&division=3.&title=&part=&chapter=1.5.&article=1. ; https://govt.westlaw.com/calregs/Document/ID26C7840D48011DEBC02831C6D6C108E?viewType=FullText&originationContext=documenttoc&transitionType=CategoryPageItem&contextData=(sc.Default) ; https://law.justia.com/codes/california/2010/fgc/1900-1913.html ; https://govt.westlaw.com/calregs/Browse/Home/California/CaliforniaCodeofRegulations?guid=I635464007E6111E487EFAE6476CD7BB9&originationContext=documenttoc&transitionType=Default&contextData=(sc.Default),"Endangered and Threatened (both plants and animals) under the CESA, but the Native Plant protection act also says categories protected from take are ""endangered and rare"". The admin code declares that any species designated as 'rare' on or before 1985 is a 'threatened' species",Y,N,Y,Y,N,2019
Colorado,https://www.animallaw.info/statute/co-endangered-species-article-2-nongame-and-endangered-species-conservation,"State Endangered, State Threatened, no plant law ",N,N,Y,N,N,Unknown
Connecticut,https://www.ct.gov/deep/cwp/view.asp?a=2702&q=323486&deepNav_GID=1628,"State or Federally Endangered, State or Federally Threatened ",Y,Y,Y,Y,N,2015
Delaware,http://regulations.delaware.gov/AdminCode/title7/3000/3900%20Wildlife/3900.shtml#TopOfPage : https://delcode.delaware.gov/title7/index.shtml,"Endangered (which also says E and T ESA are adopted by endangered list, says candidate species may be considered, but not automatically included)",N,Y,Y,N,N,2013
Florida,http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0300-0399/0379/Sections/0379.2291.html,"Federally endangered and threatened and State threatened. Had an SSC list but now getting rid of it (as of 2010), so now only 1 species left on list. Plants law protected E and Commercially exploited, and T with less strict protection",Y,Y,Y,Y,N,2018
Georgia,https://georgiabiodiversity.org/natels/protection-of-speices-in-georgia.html; https://georgiabiodiversity.org/natels/endangered-wildlife-act-of-1973.html; https://georgiabiodiversity.org/natels/about-this-data.html; https://georgiabiodiversity.org/natels/wildflower-preservation-act-of-1973.html;  https://ballotpedia.org/Endangered_species_in_Georgia; https://epd.georgia.gov/existing-rules-and-corresponding-laws; http://rules.sos.ga.gov/GAC/391-4-10-.09,"Endangered, Threatened, Rare, Unusual --> for both plants and animals",Y,Y,Y,N,N,2019
Hawaii,https://dlnr.hawaii.gov/wildlife/files/2013/02/HRS-CHAPTER-195-D.pdf : https://dlnr.hawaii.gov/rules/ : https://dlnr.hawaii.gov/dofaw/files/2013/09/Chap124a-Ex.pdf : http://files.hawaii.gov/dlnr/dofaw/rules/pubs/TEplant.html,Federally endangered and federally threatened;  and any other species the department deems of threatened or endangered status,Y,Y,Y,N,N,2015
Idaho,"https://www.animallaw.info/statute/id-endangered-species-chapter-24-species-conservation, https://legislature.idaho.gov/statutesrules/idstat/Title36/T36CH24/SECT36-2401/, https://www.energy.gov/sites/prod/files/2015/06/f22/13.01.06.pdf","Endangered or threatened, no plants. Idaho code only discusses plans for conserving ESA species once they are delisted, but admin code states listing of endangered and threatened species in the state (separate of the ESA), and only specific to wildlife (no plants)",N,N,Y,N,N,2019
