state,species,taxon_general,taxon_specific,Ranking,Notes,,
Florida,Encyclia tampensis,Plants ,,CE,,,
Florida,Epidendrum conopseum,Plants ,,CE,,,
Florida,Lycopodium cernuum,Plants ,,CE,,,
Florida,Osmunda cinnamomea,Plants ,,CE,,,
Florida,Osmunda regalis,Plants ,,CE,,,
Florida,Rhapidophyllum hystrix,Plants ,,CE,,,
Florida,Rhododendron canescens,Plants ,,CE,,,
Florida,Serenoa repens,Plants ,,CE,,,
Florida,Zamia spp,Plants ,,CE,,,
Alaska,Phoebastria albatrus,Birds,,E,,,
Alaska,Numenius borealis,Birds,,E,,,
Alaska,Balaenoptera musculus,Mammals,,E,Marine,,
Alaska,Megaptera novaeangliae,Mammals,,E,Marine,,
Alaska,Eubalaena japonica,Mammals,,E,Marine,,
Arizona,Ambystoma mavortium stebbinsi,Amphibians,Salamanders,E,,,
Arizona,Hyla wrightorum,Amphibians,Frogs/Toads,E,,,
Arizona,Lithobates blairi,Amphibians,Frogs/Toads,E,,,
Arizona,Lithobates chiricahuensis,Amphibians,Frogs/Toads,E,,,
Arizona,Lithobates onca,Amphibians,Frogs/Toads,E,,,
Arizona,Lithobates pipiens,Amphibians,Frogs/Toads,E,,,
Arizona,Lithobates tarahumarae,Amphibians,Frogs/Toads,E,,,
Arizona,Lithobates yavapaiensis,Amphibians,Frogs/Toads,E,,,
Arizona,Anthus spragueii,Birds,,E,,,
Arizona,Coccyzus americanus,Birds,,E,,,
Arizona,Colinus virginianus ridgwayi,Birds,,E,,,
Arizona,Empidonax traillii extimus,Birds,,E,,,
Arizona,Falco femoralis septentrionalis,Birds,,E,,,
Arizona,Falco peregrinus anatum,Birds,,E,,,
Arizona,Gymnogyps californianus,Birds,,E,,,
Arizona,Haliaeetus leucocephalus,Birds,,E,,,
Arizona,Rallus obsoletus yumanensis,Birds,,E,,,
Arizona,Rhynchopsitta pachyrhyncha,Birds,,E,,,
Arizona,Sternula antillarum browni,Birds,,E,,,
Arizona,Strix occidentalis lucida,Birds,,E,,,
Arizona,Campostoma ornatum,Fish,,E,,,
Arizona,Catostomus discobolus,Fish,,E,,,
Arizona,Catostomus discobolus discobolus,Fish,,E,,,
Arizona,Catostomus discobolus yarrowi,Fish,,E,,,
Arizona,Catostomus latipinnis,Fish,,E,,,
Arizona,Catostomus sp. 3,Fish,,E,,,
Arizona,Cyprinella formosa,Fish,,E,,,
Arizona,Cyprinodon eremus,Fish,,E,,,
Arizona,Cyprinodon macularius,Fish,,E,,,
Arizona,Gila cypha,Fish,,E,,,
