species,kingdom,phylum,class,order,family,genus,main_common_name,population_trend,marine_system,freshwater_system,terrestrial_system,state,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,Louisiana,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,north carolina,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,texas,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,maine,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,south carolina,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,new york,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,new hampshire,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,oregon,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,maryland,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,georgia,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,new jersey,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,virginia,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,delaware,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,california,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,florida,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,washington,
Alopias vulpinus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,Common Thresher,Decreasing,TRUE,FALSE,FALSE,hawaii,
Amphinaias couchiana,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Amphinaias,NA,NA,FALSE,TRUE,FALSE,Texas,
Anser erythropus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,Lesser White-fronted Goose,Decreasing,FALSE,TRUE,TRUE,NA,not in US
Aphaenogaster bidentatus,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Aphaenogaster,NA,NA,FALSE,FALSE,TRUE,NA,unknown
Axis porcinus,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Axis,Hog Deer,Decreasing,FALSE,TRUE,TRUE,NA,not in US
Aythya ferina,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Aythya,Common Pochard,Decreasing,TRUE,TRUE,TRUE,NA,not in US
Balaenoptera edeni,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,Bryde's Whale,Unknown,TRUE,FALSE,FALSE,california,
Balaenoptera edeni,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,Bryde's Whale,Unknown,TRUE,FALSE,FALSE,florida,
Balaenoptera edeni,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,Bryde's Whale,Unknown,TRUE,FALSE,FALSE,georgia,
Balaenoptera edeni,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,Bryde's Whale,Unknown,TRUE,FALSE,FALSE,south carolina,
Balistes capriscus,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,BALISTIDAE,Balistes,Gray Triggerfish,Decreasing,TRUE,FALSE,FALSE,maine,
Balistes capriscus,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,BALISTIDAE,Balistes,Gray Triggerfish,Decreasing,TRUE,FALSE,FALSE,new hampshire,
Balistes capriscus,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,BALISTIDAE,Balistes,Gray Triggerfish,Decreasing,TRUE,FALSE,FALSE,massachusetts,
Balistes capriscus,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,BALISTIDAE,Balistes,Gray Triggerfish,Decreasing,TRUE,FALSE,FALSE,rhode island,
Balistes capriscus,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,BALISTIDAE,Balistes,Gray Triggerfish,Decreasing,TRUE,FALSE,FALSE,connecticut,
