state,leg_control,governor,state_control,party_trend_rank,area_sqkm,coast,diversity_rank,total_sp,risk_rank,percent_atrisk,endemism_rank,endemic_sp
California,D,D,D,-22,423967,Y,1,6717,2,28.50%,1,1295
Texas,R,R,R,14,695662,Y,2,6273,11,10.10%,3,340
Arizona,R,R,R,11,295234,N,3,4759,7,13.60%,8,135
New Mexico,D,D,D,-6,314917,N,4,4583,11,10.10%,11,90
Alabama,R,R,R,24,135767,Y,5,4533,4,14.80%,7,144
Georgia,R,R,R,10,153910,Y,6,4436,8,12.90%,12,63
Florida,R,R,R,0,170312,Y,7,4368,6,14.30%,4,269
Oregon,D,D,D,-23,254799,Y,8,4136,9,10.90%,9,106
North Carolina,R,D,S,9,139391,Y,9,4131,13,9.90%,19,24
Utah,R,R,R,17,219882,N,10,3892,5,14.70%,5,182
Nevada,D,D,D,-4,286380,N,11,3872,3,15.80%,6,173
Virginia,D,D,D,1,110787,Y,12,3803,16,8.00%,21,21
Tennessee,R,R,R,6,109153,N,13,3772,10,10.30%,15,49
South Carolina,R,R,R,15,82933,Y,14,3701,15,8.60%,29,7
Oklahoma,R,R,R,18,181037,N,15,3616,31,4.50%,30,6
Colorado,D,D,D,-1,269601,N,16,3597,14,9.10%,10,93
Mississippi,R,R,R,20,125438,Y,17,3580,19,7.00%,20,23
Louisiana,R,D,S,5,135659,Y,18,3495,25,5.20%,28,8
Arkansas,R,R,R,3,137732,N,19,3415,23,6.40%,16,33
Washington,D,D,D,-25,184661,Y,20,3375,18,7.30%,13,53
Missouri,R,R,R,2,180540,N,21,3340,24,5.40%,23,16
New York,D,D,D,-20,141297,Y,22,3333,27,4.90%,27,9
Illinois,D,D,D,-14,149995,N,23,3258,27,4.90%,36,3
Kentucky,R,D,S,4,104656,N,23,3258,19,7.00%,24,14
Idaho,R,R,R,22,216443,N,25,3205,22,6.70%,14,51
Wyoming,R,R,R,16,253335,N,26,3184,21,6.80%,17,32
Ohio,R,R,R,-3,116098,N,27,3152,32,4.30%,33,5
Maryland,D,R,S,-18,32131,Y,28,3148,35,3.90%,41,2
Michigan,R,D,S,-17,250487,N,29,3135,34,4.00%,26,10
Pennsylvania,R,D,S,-7,119280,N,29,3135,32,4.30%,33,5
Indiana,R,R,R,7,94326,N,31,3098,27,4.90%,36,3
New Jersey,D,D,D,-10,22591,Y,32,3022,38,3.60%,51,0
Montana,R,D,S,8,380831,N,33,2921,26,5.10%,22,17
West Virginia,R,R,R,-2,62756,N,34,2873,27,4.90%,25,13
Wisconsin,R,D,S,-16,169635,N,35,2869,40,3.20%,41,2
Minnesota,S,D,S,-24,225163,N,36,2817,43,2.80%,41,2
Kansas,R,D,S,21,213100,N,37,2778,47,2.70%,51,0
Massachusetts,D,R,S,-19,27336,Y,38,2765,37,3.70%,30,6
Nebraska,NA,R,NA,19,200330,N,39,2587,48,2.20%,36,3
Iowa,R,R,R,-8,145746,N,40,2533,39,3.30%,51,0
Connecticut,D,D,D,-12,14357,Y,41,2497,42,2.90%,30,6
South Dakota,R,R,R,12,199729,N,42,2406,51,1.60%,45,1
Maine,D,D,D,-15,91633,Y,43,2352,36,3.80%,36,3
New Hampshire,D,R,S,-5,24214,N,44,2327,43,2.80%,33,5
Vermont,D,R,S,-11,24906,N,45,2274,41,3.00%,41,2
Delaware,D,D,D,-9,6446,Y,46,2244,43,2.80%,51,0
Rhode Island,R,D,S,-21,4001,Y,47,2078,43,2.80%,36,3
North Dakota,R,R,R,13,183108,N,48,1889,51,1.60%,51,0
Alaska,R,R,R,23,1723337,Y,49,1835,16,8.00%,18,26
Hawaii,D,D,D,-13,28313,Y,50,1418,1,62.70%,2,1011
