state,totalProtectedSpecies,party_trend_rank,area_sqkm,coast,total_sp,percent_atrisk,endemic_sp,percent_plants,percent_mammals,percent_birds,percent_reptiles,percent_amphib,percent_fish,percent_inverts,popDensity,percent_HuntFish,percent_Farmland,percent_FedLand,Income_2019,totalImperiled
alabama,0,25,135767,1,4533,14.8,144,64.0194,1.3898,7.1917,1.8751,1.5001,6.2652,17.7587,94.4,20,26.5,2.7,43880,234
alaska,5,24,1723337,1,1835,8,26,73.7875,5.2316,14.6594,0,0.327,2.3978,3.5967,1.2,45,0.2,60.9,62102,45
arizona,352,12,295234,0,4759,13.6,135,73.797,2.8998,9.1406,2.1433,0.5253,0.5884,10.9057,56.3,14,35.9,38.6,46233,70
arkansas,38,4,137732,0,3415,6.4,33,64.4802,2.0205,9.1362,1.8741,1.4348,5.9444,15.1098,56,26,41.7,9.4,44845,87
california,261,-22,423967,1,6717,28.5,1295,80.661,2.9031,6.1784,1.2803,0.8486,0.923,7.2056,239.1,7,24.6,45.4,66661,224
colorado,17,-1,269601,0,3597,9.1,93,70.8924,3.6975,10.3142,1.3622,0.4726,1.3344,11.9266,48.5,18,48,36.2,61348,46
connecticut,303,-12,14357,1,2497,2.9,6,73.0076,2.483,10.9331,1.0813,0.8811,1.8422,9.7717,738.1,12,12.3,0.3,79087,62
delaware,83,-9,6446,1,2244,2.8,0,71.2121,2.4064,13.1462,1.6488,1.2032,2.7629,7.6203,460.8,14,42.1,2.4,54264,49
florida,665,1,170312,1,4368,14.3,269,69.5513,1.9689,8.837,2.0604,1.2821,3.1136,13.1868,350.6,14,28.4,12.9,51989,204
georgia,322,11,153910,1,4436,12.9,63,67.4932,2.0739,7.394,1.8711,1.7358,5.6357,13.7962,168.4,13,27,5.2,48199,164
hawaii,497,-13,28313,1,1418,62.7,1011,88.0818,0.4937,8.11,0.2821,0,0.3526,2.6798,211.8,11,27.6,20.2,57450,561
idaho,10,23,216443,0,3205,6.7,51,76.0686,3.2761,8.8612,0.7176,0.3744,1.3105,9.3916,19,28,22.1,61.9,45642,43
illinois,476,-14,149995,0,3258,4.9,3,66.1449,2.0565,9.5457,1.8416,1.1971,5.7704,13.4438,231.1,15,76,1.2,58935,77
indiana,77,8,94326,0,3098,4.9,3,66.5913,2.195,8.8767,1.8722,1.2266,6.1007,13.1375,181,17,65.3,1.7,48657,76
iowa,227,-8,145746,0,2533,3.3,0,62.4951,2.6846,10.8172,1.8555,0.908,5.4876,15.7521,54.5,25,85.5,0.3,52636,47
kansas,51,22,213100,0,2778,2.7,0,64.0029,2.9518,12.275,2.3038,1.0439,4.3557,13.067,34.9,21,87.5,0.5,53453,47
